00222104,1943,75 ST,0, ,45,100,4500,15,0,41.5069104802915,-81.63502226970849
00222113,1907,75 ST,0, ,40,100,4000,15,0,41.5079399802915,-81.6345290197085
00222114,1903,W 75 ST,8,Detroit-Shoreway,30,102,5202,15,17,41.48113298029149,-81.7351640197085
00223032,1718,W 69 ST,8,Detroit-Shoreway,35,75,2400,15,17,41.4805109802915,-81.73181101970849
00226079,6612,FIR AVE,8,Detroit-Shoreway,39,116,4060,15,17,41.4812959802915,-81.73012201970849
00227059,5823,LAWN AVE,8,Detroit-Shoreway,35,108,3780,15,17,41.4778619802915,-81.7253290197085
00228016,6015,WAKEFIELD AVE,8,Detroit-Shoreway,35,114,2964,15,17,41.4800659802915,-81.72675001970852
00228090,1954,W 61 ST,0, ,37,76,2508,15,0,41.47979598029149,-81.72722671970848
00229015,6309,BRIDGE AVE,8,Detroit-Shoreway,40,126,5040,15,17,41.4817019802915,-81.7280809197085
00229055,6018,WAKEFIELD AVE,8,Detroit-Shoreway,30,125,3750,15,17,41.48053598029149,-81.7266100197085
00229108,6014,BAYNE CT,8,Detroit-Shoreway,40,37,1480,15,17,41.4806579802915,-81.72648401970848
00230060,6209,ELLEN AVE,8,Detroit-Shoreway,81,70,5654,15,17,41.4824249802915,-81.72778701970849
00230061,6207,ELLEN AVE,7, ,35,70,2467,15,17,41.4825459802915,-81.72769356970849
00230063,6111,ELLEN AVE,8,Detroit-Shoreway,40,70,2800,15,17,41.4824279802915,-81.7273580197085
00230087,6304,ELLEN AVE,8,Detroit-Shoreway,5,90,450,15,17,41.4827219802915,-81.7279820197085
00230088,0,ELLEN AVE,8,Detroit-Shoreway,10,90,900,15,17,41.4826899802915,-81.7263948
00231038,1967,W 54 ST,8,Detroit-Shoreway,25,132,3300,15,17,41.4791299802915,-81.72193201970849
00231051,1962,W 54 ST,8,Detroit-Shoreway,37,59,2178,15,17,41.47914998029151,-81.7227760197085
00231103,5714,SIDE NONE,8,Detroit-Shoreway,30,119,3570,15,17,41.5992572,-81.5327439
00231107,1963,W 58 ST,8,Detroit-Shoreway,38,82,3116,15,17,41.4794899802915,-81.7247410197085
00231124,54,W 54 ST,8,Detroit-Shoreway,50,0,98,15,17,41.4116303802915,-81.7209768197085
00231127,1962,W 54 ST,8,Detroit-Shoreway,54,54,3049,15,17,41.47914998029151,-81.7227760197085
00232075,5504,COURTLAND CT,8,Detroit-Shoreway,17,100,1698,15,17,41.4811109802915,-81.7229419197085
00232118,1926,W 52 ST,8,Detroit-Shoreway,40,50,2000,15,17,41.4805271802915,-81.72129931970849
00232150,5200,BRIDGE AVE,8,Detroit-Shoreway,18,80,1785,15,17,41.4821879802915,-81.72124701970851
00232163,0,BRIDGE (REAR) A,8,Detroit-Shoreway,0,0,1350,15,17,41.5506921,-81.52213526970849
00233059,1789,W 54 ST,8,Detroit-Shoreway,40,120,4800,15,17,41.48407548029149,-81.7223283697085
00234079,1967,48 ST,0, ,30,0,3960,15,0,41.4802939802915,-81.71837701970848
00234105,47,W 47 ST,8,Detroit-Shoreway,10,8,80,3,13,41.48484070000001,-81.71831656970849
00234108,47,W 47 ST,8,Detroit-Shoreway,50,132,6600,3,13,41.48484070000001,-81.71831656970849
00234111,1961,W  47 ST,7, ,32,132,4164,3,17,41.4808651302915,-81.7175241197085
00234116,1947,47 ST,0, ,60,0,7920,3,0,41.4812359802915,-81.7171970197085
00234163,1970,W 48 ST,8,Detroit-Shoreway,30,132,3960,15,17,41.4801239802915,-81.71907201970849
00235056,1831,W 50 ST,8,Detroit-Shoreway,24,126,3024,15,17,41.48352098029149,-81.71956491970849
00235107,1876,W 47 ST,0, ,60,126,7560,15,0,41.4831469802915,-81.71788001970849
00235204,4811,BRIDGE CT,8,Detroit-Shoreway,32,60,1920,15,17,41.4823189802915,-81.71923901970848
00235206,1829,W 49 PL,8,Detroit-Shoreway,30,46,1380,15,17,41.48359498029149,-81.71941501970849
00235215,1842,W 50 ST,8,Detroit-Shoreway,23,132,3036,15,17,41.4831083802915,-81.7199075197085
00236080,0,W 47 ST,8,Detroit-Shoreway,28,124,3472,15,17,41.48484070000001,-81.71831656970849
00236088,1831,W 48 ST,8,Detroit-Shoreway,28,126,3528,15,17,41.4840069802915,-81.71838201970849
00236117,1826,48 ST,0, ,45,126,5670,15,0,41.4841589802915,-81.71906101970849
00309068,5611,TILLMAN AVE,8,Detroit-Shoreway,500,0,6600,15,17,41.48734098029151,-81.7241020197085
00312012,0,DETROIT AVE,10,Ohio City,36,0,1500,3,13,41.4944152,-81.70397799999999
00326038,3703,CLINTON AVE,10,Ohio City,66,0,7590,3,13,41.48844598029149,-81.7127500197085
00329048,0,44,0, ,21,132,2726,3,0,41.485453,-81.7151559
00329051,1885,W 44 ST,8,Detroit-Shoreway,26,96,2496,3,13,41.4838639802915,-81.71485801970849
00330008,1787,W 44 ST,10,Ohio City,34,95,3230,3,13,41.4863939802915,-81.7148610197085
00330105,0,JOHN AVE,10,Ohio City,38,132,264,3,13,41.4847738802915,-81.7134777
00334034,4242,LORAIN AVE,8,Detroit-Shoreway,39,0,64050,3,13,41.4811679802915,-81.7145850197085
00334112,1924,W  44 ST,7, ,30,139,4100,3,14,41.4826845302915,-81.71515901970848
00402014,2001,LORAIN AVE,23, ,33,10,330,3,14,41.4861701302915,-81.70050616970849
00402032,19,W 19 ST,10,Ohio City,25,100,2500,3,13,41.438382,-81.69336601970849
00403022,2246,W 20 ST,14,Tremont,22,135,2970,3,14,41.4839789802915,-81.69798491970849
00403026,2017,FOLLET CT,14,Tremont,20,64,1270,3,14,41.48403998029149,-81.69826701970848
00403057,2235,W 20 ST,14,Tremont,33,133,4389,3,14,41.48415798029149,-81.69726401970848
00403062,2267,W 20 ST,0, ,33,0,3960,3,0,41.4837059802915,-81.69728601970849
00403063,2271,W 20 ST,14,Tremont,34,120,4080,3,14,41.4836159802915,-81.69728601970849
00403068,2304,W 19 ST,14,Tremont,33,106,3498,3,14,41.4837959802915,-81.69683091970849
00403079,1911,ABBEY AVE,14,Tremont,23,132,3059,3,13,41.4854709802915,-81.69693001970849
00403081,0,ABBEY AVE,14,Tremont,0,132,1057,3,14,41.4853178802915,-81.6893812
00403095,0,FREEMAN AVE,14,Tremont,28,66,1848,3,14,41.4847581802915,-81.6978496
00403109,20,W 20 ST,14,Tremont,33,48,1574,3,14,41.5012997802915,-81.6915688197085
00406054,1916,POTTER CT,0, ,30,101,3030,14,0,41.4791549802915,-81.6969170197085
00406055,1912,POTTER CT,14,Tremont,28,100,2800,14,14,41.4791439802915,-81.6967940197085
00406057,1906,POTTER CT,14,Tremont,23,100,2300,14,14,41.4791439802915,-81.69659701970849
00406060,2508,W 20 ST,14,Tremont,33,73,2409,14,14,41.47926398029149,-81.69728001970849
00406061,2502,W 20 ST,14,Tremont,33,76,2508,14,14,41.47935298029149,-81.6973080197085
00406062,20,W 20 ST,14,Tremont,33,79,2607,14,14,41.5012997802915,-81.6915688197085
00406067,2460,W 20 ST,14,Tremont,35,80,2800,14,14,41.4798699802915,-81.6975130197085
00406070,20,W 20 ST,14,Tremont,87,277,24099,14,14,41.5012997802915,-81.6915688197085
00407070,2592,W 18 PL,0, ,30,138,4140,14,0,41.4783409802915,-81.69462501970848
00407086,2639,W 18 ST,14,Tremont,22,96,2112,14,14,41.47772498029151,-81.6949399197085
00407087,2631,W 18 ST,14,Tremont,30,92,2760,14,14,41.47779698029149,-81.6949470197085
00407115,19,W 19 ST,14,Tremont,29,104,3016,14,14,41.438382,-81.69336601970849
