00232163,0,BRIDGE (REAR) A,8,Detroit-Shoreway,0,0,1350,15,17
00233059,1789,W 54 ST,8,Detroit-Shoreway,40,120,4800,15,17
00234079,1967,48 ST,0, ,30,0,3960,15,0
00234105,47,W 47 ST,8,Detroit-Shoreway,10,8,80,3,13
00234108,47,W 47 ST,8,Detroit-Shoreway,50,132,6600,3,13
00234111,1961,W  47 ST,7, ,32,132,4164,3,17
00234116,1947,47 ST,0, ,60,0,7920,3,0
00234163,1970,W 48 ST,8,Detroit-Shoreway,30,132,3960,15,17
00235056,1831,W 50 ST,8,Detroit-Shoreway,24,126,3024,15,17
00235107,1876,W 47 ST,0, ,60,126,7560,15,0
00235204,4811,BRIDGE CT,8,Detroit-Shoreway,32,60,1920,15,17
00235206,1829,W 49 PL,8,Detroit-Shoreway,30,46,1380,15,17
00235215,1842,W 50 ST,8,Detroit-Shoreway,23,132,3036,15,17
00236080,0,W 47 ST,8,Detroit-Shoreway,28,124,3472,15,17
00236088,1831,W 48 ST,8,Detroit-Shoreway,28,126,3528,15,17
00236117,1826,48 ST,0, ,45,126,5670,15,0
00309068,5611,TILLMAN AVE,8,Detroit-Shoreway,500,0,6600,15,17
00312012,0,DETROIT AVE,10,Ohio City,36,0,1500,3,13
00326038,3703,CLINTON AVE,10,Ohio City,66,0,7590,3,13
00329048,0,44,0, ,21,132,2726,3,0
00329051,1885,W 44 ST,8,Detroit-Shoreway,26,96,2496,3,13
00330008,1787,W 44 ST,10,Ohio City,34,95,3230,3,13
00330105,0,JOHN AVE,10,Ohio City,38,132,264,3,13
00334034,4242,LORAIN AVE,8,Detroit-Shoreway,39,0,64050,3,13
00334112,1924,W  44 ST,7, ,30,139,4100,3,14
00402014,2001,LORAIN AVE,23, ,33,10,330,3,14
00402032,19,W 19 ST,10,Ohio City,25,100,2500,3,13
00403022,2246,W 20 ST,14,Tremont,22,135,2970,3,14
00403026,2017,FOLLET CT,14,Tremont,20,64,1270,3,14
00403057,2235,W 20 ST,14,Tremont,33,133,4389,3,14
00403062,2267,W 20 ST,0, ,33,0,3960,3,0
00403063,2271,W 20 ST,14,Tremont,34,120,4080,3,14
00403068,2304,W 19 ST,14,Tremont,33,106,3498,3,14
00403079,1911,ABBEY AVE,14,Tremont,23,132,3059,3,13
00403081,0,ABBEY AVE,14,Tremont,0,132,1057,3,14
00403095,0,FREEMAN AVE,14,Tremont,28,66,1848,3,14
00403109,20,W 20 ST,14,Tremont,33,48,1574,3,14
00406054,1916,POTTER CT,0, ,30,101,3030,14,0
00406055,1912,POTTER CT,14,Tremont,28,100,2800,14,14
00406057,1906,POTTER CT,14,Tremont,23,100,2300,14,14
00406060,2508,W 20 ST,14,Tremont,33,73,2409,14,14
00406061,2502,W 20 ST,14,Tremont,33,76,2508,14,14
00406062,20,W 20 ST,14,Tremont,33,79,2607,14,14
00406067,2460,W 20 ST,14,Tremont,35,80,2800,14,14
00406070,20,W 20 ST,14,Tremont,87,277,24099,14,14
00407070,2592,W 18 PL,0, ,30,138,4140,14,0
00407086,2639,W 18 ST,14,Tremont,22,96,2112,14,14
00407087,2631,W 18 ST,14,Tremont,30,92,2760,14,14
00407115,19,W 19 ST,14,Tremont,29,104,3016,14,14
00407116,19,W 19 ST,14,Tremont,29,105,3045,14,14
00407127,1818,LAMOILLE AVE,14,Tremont,30,114,3420,14,14
00407128,1816,LAMOILLE AVE,14,Tremont,30,114,3420,14,14
00408076,1397, ,0, ,0,0,0,13,0
00409071,11,W 11 ST,14,Tremont,1,154,154,3,13
00410029,0,W 14 ST,0, ,36,85,3060,3,0
00410045,0,W 14 ST,14,Tremont,36,76,2736,3,13
00411019,0,STARKWEATHER AV,14,Tremont,14,120,1634,14,14
00411062,0,HOWARD AVE,14,Tremont,17,44,748,14,14
00416129,0,THURMAN ST,14,Tremont,1,69,69,3,13
00416131,0,THURMAN ST,14,Tremont,13,111,1443,3,13
00417163,2482,THURMAN CT,14,Tremont,4,85,340,3,13
00418041,0,W 6 ST,0, ,25,0,2500,3,0
00419013,2371,W 7 ST,31, ,1,190,190,3,13
00419047,6,W 6 ST,14,Tremont,33,65,2145,3,13
00419091,2477,W 6 ST,14,Tremont,33,65,2145,3,13
00419124,2312,5 ST,0, ,33,100,3300,3,0
00419135,2235,W 5 ST,14,Tremont,25,68,1694,3,13
00422081,0,BRAYTON AVE,14,Tremont,80,21,1655,3,13
00422157,0,ST TIKHON AVE,14,Tremont,30,0,2460,3,13
00422158,2556,ST TIKHON AVE,14,Tremont,30,82,2460,3,13
00505001,10615,MADISON AVE,0, ,527,917,808081,16,0
00510089,3086,111 ST,0, ,45,110,4950,17,0
00512004,0,W 110 ST,6,Cudell,46,322,5880,17,19
00512010,0,W 110 REAR,6,Cudell,7,48,166,17,19
00514153,0,W 106 ST,6,Cudell,38,105,3885,17,19
00515071,3079,W 105 ST,6,Cudell,36,106,3816,16,18
00515109,3080,104 ST,0, ,50,106,5300,16,0
00516023,0,W 106 ST,6,Cudell,25,114,2850,16,18
00516087,2227,W 104 ST,6, ,34,113,1132,16,18
00516089,2221,W 104 ST,6,Cudell,34,113,3842,16,18
00518070,2015,W 103 ST,6,Cudell,35,100,3500,16,18
00518127,2069,W 105 ST,6,Cudell,38,113,4181,16,18
00519016,9850,LORAIN AVE,6,Cudell,39,0,5148,16,18
00519070,3091,101 ST,0, ,43,107,4280,16,0
00522037,2153,101 ST,0, ,40,125,5000,16,0
00523078,9909,MADISON AVE,0, ,50,0,3000,16,0
00524002,9728,LORAIN AVE,0, ,42,0,4743,16,0
00524069,3141,W 98 ST,6,Cudell,40,138,5520,16,18
00524070,97,W 97 ST,6,Cudell,28,0,1921,16,18
00524090,3125,W 97 ST,0, ,30,110,3300,16,0
00525018,9607,MACON AVE,6,Cudell,35,122,4270,16,18
00525046,2190,W 93 ST,6,Cudell,35,125,4375,16,18
00525054,0,LEO AVE,6,Cudell,26,25,525,16,18
00525065,0,WILLARD AVE,6,Cudell,15,151,2265,16,18
00526111,2118,93 ST,6,Cudell,30,132,3960,16,18
00526126,2176,W 93 ST,6,Cudell,35,126,4410,16,18
00527103,9717,LARNDER AVE,0, ,32,47,1504,16,0
00529032,0,SAUER AVE,6,Cudell,6,35,210,16,18
00529036,9005,SAUER AVE,0, ,35,105,3675,16,0
00529064,8701,TOMPKINS AVE,0, ,35,123,4305,16,0
00530015,2061,W 93 ST,0, ,40,132,5280,16,0
00531025,8707,MADISON AVE,6,Cudell,46,0,5980,16,18
00601078,2190,W 83 ST,6,Cudell,35,136,4760,15,17
00601083,2208,W 83 ST,6,Cudell,35,136,4760,15,17
00601091,2201,W 85 ST,6,Cudell,35,136,4760,15,17
00601094,2191,W 85 ST,6,Cudell,35,136,4760,15,0
00602058,2169,83 ST,0, ,40,148,5920,15,0
00603060,2087,81 ST,0, ,36,125,4500,15,0
00603121,2044,83 ST,0, ,35,136,4760,15,0
00604003,7925,MADISON AVE,0, ,40,123,4920,15,0
00604005,7919,MADISON AVE,0, ,40,0,4960,15,0
00604006,7915,MADISON AVE,0, ,40,0,4960,15,0
00604013,0,MADISON AVE,8,Detroit-Shoreway,5,124,620,15,17
00604018,0,GUTHRIE AVE,8,Detroit-Shoreway,40,49,1955,15,17
00604019,7700,GUTHRIE AVE,8,Detroit-Shoreway,40,52,2080,15,17
00604023,7919,GUTHRIE AVE,0, ,30,100,3000,15,0
00604046,7608,LAWN AVE,8,Detroit-Shoreway,30,49,1540,15,17
00604051,7706,LAWN AVE,8,Detroit-Shoreway,35,115,4025,15,17
00604055,7808,LAWN AVE,7, ,35,115,4039,15,17
00604071,7813,LAWN AVE,7, ,35,126,4410,15,17
00604082,7601,LAWN AVE,8,Detroit-Shoreway,35,126,4410,15,17
00604086,7610,DUDLEY AVE,0, ,30,126,3780,15,0
00604100,7904,DUDLEY AVE,8,Detroit-Shoreway,30,126,3780,15,17
00604110,7807,DUDLEY AVE,8,Detroit-Shoreway,70,53,3710,15,17
00604116,7601,DUDLEY AVE,8,Detroit-Shoreway,35,105,3675,15,17
00604118,7816,EVE AVE,8,Detroit-Shoreway,35,69,2415,15,17
00604152,7718,ELTON AVE,8,Detroit-Shoreway,35,126,4410,15,17
00604163,7912,ELTON AVE,8,Detroit-Shoreway,35,126,4410,15,17
00604166,7901,DUDLEY AVE,0, ,35,75,2625,15,0
00604170,2026,W 76 ST,0, ,37,30,1121,15,0
00604172,7913,LAWN AVE,8,Detroit-Shoreway,40,63,2520,15,17
00605001,7521,MADISON AVE,8,Detroit-Shoreway,35,0,2300,15,17
00605004,7505,MADISON AVE,8,Detroit-Shoreway,45,124,5580,15,17
00605034,7302,LAWN AVE,8,Detroit-Shoreway,44,118,5060,15,17
00605044,7510,LAWN AVE,8,Detroit-Shoreway,35,115,6059,15,17
00605058,7411,LAWN AVE,8,Detroit-Shoreway,33,126,3528,15,17
00605068,7302,DUDLEY AVE,8,Detroit-Shoreway,32,52,1664,15,17
00605074,7322,DUDLEY AVE,8,Detroit-Shoreway,35,126,4410,15,17
00605101,7424,ELTON AVE,8,Detroit-Shoreway,35,69,2415,15,17
00605102,7500,ELTON AVE,0, ,35,78,2730,15,0
00605113,7300,DUDLEY AVE,8,Detroit-Shoreway,29,75,2175,15,17
00605116,7314,GUTHRIE AVE,0, ,40,59,2360,15,0
00606007,7815,ELTON AVE,8,Detroit-Shoreway,35,126,4410,15,17
00606089,7737,LORAIN AVE,0, ,35,0,4375,15,0
00606093,7612,GRACE AVE,8,Detroit-Shoreway,35,125,4375,15,17
00606112,0,GRACE AVE,7, ,0,0,4375,15,17
00606121,7722,COLGATE AVE,8,Detroit-Shoreway,35,46,1610,15,17
00607027,2082,W 73 ST,8,Detroit-Shoreway,58,0,3517,15,17
